Quote_Id,Quote_Date,Quote_Flag,Field_Info1,Field_Info2,Field_Info3,Field_Info4,Coverage_Info1,Coverage_Info2,Coverage_Info3,Sales_Info1,Sales_Info2,Sales_Info3,Sales_Info4,Sales_Info5,Personal_Info1,Personal_Info2,Personal_Info3,Personal_Info4,Personal_Info5,Property_Info1,Property_Info2,Property_Info3,Property_Info4,Property_Info5,Geographic_Info1,Geographic_Info2,Geographic_Info3,Geographic_Info4,Geographic_Info5
2877,4/06/2014,0,F,1.0006,548,N,10,22,E,1,5,20,T,8169,N,-1,XC,0,,N,0,R,1,19,4,19,-1,N,NJ
2953,14/07/2014,0,E,0.9392,"1,487",N,10,25,A,0,4,11,K,36870,N,6,XO,0,,N,0,S,1,15,9,24,-1,N,IL
3014,11/04/2014,0,F,1.0006,548,N,4,25,E,1,5,20,V,36347,N,5,ZN,0,2,N,0,H,1,8,4,17,-1,N,NJ
3310,20/03/2013,0,J,0.9769,"1,165",N,2,22,F,0,5,23,T,51752,N,-1,ZA,0,2,N,0,D,0,4,14,6,-1,Y,TX
3372,11/04/2013,0,B,0.9403,965,N,7,22,E,1,3,15,Q,48128,N,6,ZA,0,2,N,0,O,1,20,1,15,-1,N,CA
3603,4/01/2013,0,J,0.9559,"1,165",N,5,22,F,0,4,23,V,18570,N,6,XS,0,,N,0,J,1,4,14,5,-1,N,TX
3630,2/07/2013,0,B,0.9403,965,N,9,2,D,1,5,1,P,17271,N,25,ZA,0,2,N,0,O,1,12,2,12,-1,N,CA
3772,8/02/2015,0,C,0.9108,"1,487",Y,8,22,F,1,5,11,M,9360,N,14,XR,0,,N,0,R,1,8,9,23,-1,N,IL
3993,3/06/2013,0,F,0.9919,564,N,7,22,E,1,5,1,K,46652,N,13,XR,0,,N,0,D,1,16,4,19,-1,N,NJ
4026,3/05/2013,0,E,0.9525,"1,480",N,5,22,K,1,5,1,V,35685,N,8,ZA,0,2,N,0,S,0,7,9,25,-1,N,IL
4253,6/01/2014,0,B,0.9403,935,N,3,22,D,1,5,7,K,3878,N,-1,ZA,0,2,N,0,A,0,6,2,13,-1,N,CA
4643,25/08/2013,0,E,0.9487,"1,480",N,6,22,K,0,5,4,M,36621,N,9,XC,0,,N,0,N,1,12,9,24,-1,N,IL
4708,17/06/2013,0,B,0.9403,965,N,15,22,D,0,5,1,K,1014,N,-1,ZA,0,2,Y,0,O,1,21,2,10,-1,N,CA
4904,13/11/2013,0,F,0.9919,564,N,14,22,E,0,5,7,T,8749,N,7,XC,0,,N,0,R,1,17,4,21,-1,N,NJ
5488,5/03/2014,0,J,0.8922,"1,113",N,13,22,G,1,5,20,T,2680,N,-1,ZF,0,,N,0,S,1,8,14,6,-1,N,TX
5552,28/03/2013,1,E,0.9375,"1,480",N,7,22,A,1,2,15,Q,52466,N,24,XD,0,2,N,0,N,1,6,9,25,-1,N,IL
5640,5/04/2013,0,B,0.9403,965,N,7,22,D,0,5,24,V,46696,N,-1,ZA,0,2,N,0,O,1,21,2,11,-1,N,CA
5733,18/09/2013,0,B,0.9403,965,N,7,25,E,0,4,4,T,21610,N,10,ZA,0,2,Y,0,O,1,17,2,6,-1,N,CA
5925,27/04/2015,0,F,1.0101,548,N,14,22,E,0,3,20,K,29176,N,15,XM,0,,N,0,N,1,18,4,17,-1,N,NJ
6119,25/02/2014,1,B,0.9403,935,N,25,22,E,1,3,20,Q,8780,N,6,ZA,0,2,N,0,O,1,17,2,12,-1,N,CA
6204,11/07/2014,1,E,0.9392,"1,487",N,14,22,A,0,4,11,V,42148,N,5,ZN,0,,N,0,D,1,16,9,25,-1,N,IL
6481,31/10/2014,1,F,1.0006,548,N,6,22,E,1,3,20,P,59608,N,8,XM,0,,N,0,N,0,15,4,21,-1,N,NJ
6493,16/03/2013,0,E,0.9375,"1,480",N,5,22,G,1,3,16,R,32362,N,8,XQ,0,,N,0,D,1,4,9,22,-1,N,IL
6696,5/06/2013,0,B,0.9403,965,N,8,22,D,0,5,24,P,38990,N,-1,ZA,0,2,Y,0,O,0,9,2,9,-1,N,CA
7095,3/03/2014,0,B,0.9153,935,N,6,2,E,1,3,11,K,51483,N,4,ZA,0,2,N,0,O,1,10,2,4,-1,N,CA
7156,30/07/2014,0,J,0.8928,"1,113",N,8,25,G,1,4,22,T,51170,N,6,XD,0,,N,0,J,1,13,24,15,-1,N,TX
7244,26/01/2015,0,K,0.887,"1,113",Y,4,22,K,1,5,11,K,35458,N,12,XO,0,,N,0,J,1,2,7,4,-1,N,TX
7775,29/12/2014,0,C,0.9108,"1,487",Y,8,22,F,1,5,11,K,55850,N,5,XB,0,,N,0,S,0,1,9,23,-1,N,IL
7810,23/03/2013,0,F,0.8945,564,N,23,22,E,0,5,23,R,13231,N,21,XO,0,,N,0,S,1,20,4,21,-1,N,NJ
8245,26/03/2014,1,F,0.9566,548,N,9,22,E,1,3,20,Q,14989,N,6,XJ,0,,N,0,S,0,15,4,22,-1,N,NJ
8413,20/06/2014,0,E,0.9392,"1,487",N,7,22,A,1,3,20,V,24957,N,7,ZH,0,,N,0,N,1,14,9,23,-1,N,IL
8477,11/04/2013,1,B,0.9403,965,N,8,22,K,0,4,23,R,45523,N,4,ZA,0,2,Y,0,O,1,17,2,4,-1,N,CA
8750,18/06/2014,0,J,0.8928,"1,113",N,13,2,I,0,5,11,R,30050,N,-1,YH,0,,N,0,S,1,7,14,9,-1,N,TX
9239,29/10/2013,0,J,0.9497,"1,165",N,3,22,F,1,5,7,P,53897,N,5,ZA,0,2,Y,0,J,0,2,24,12,-1,N,TX
9322,9/02/2015,0,F,0.9893,548,N,4,25,E,1,4,11,K,45266,N,1,YH,0,,N,0,J,1,2,4,17,-1,N,NJ
9508,29/11/2014,0,B,0.9153,935,N,13,22,E,1,3,20,R,55916,N,5,ZA,0,2,Y,0,O,1,20,2,8,-1,N,CA
9576,16/09/2014,0,J,0.8928,"1,113",N,6,22,F,1,4,11,P,66121,N,-1,XH,0,,N,0,J,1,3,25,14,-1,N,TX
9803,9/06/2014,0,B,0.9153,935,N,6,25,K,0,4,11,K,56531,N,7,ZA,0,2,N,0,O,0,11,2,9,-1,N,CA
9933,13/03/2013,0,B,0.9403,965,N,7,22,D,0,5,24,T,874,N,-1,ZA,0,2,N,0,O,1,20,2,4,25,N,CA
9970,28/10/2013,0,B,0.9403,965,N,9,25,D,0,5,7,K,3325,N,6,ZA,0,2,N,0,O,0,24,2,8,-1,N,CA
10524,8/10/2014,0,B,0.9153,935,N,2,22,D,1,5,11,T,1409,N,23,ZA,0,2,N,0,O,1,16,2,7,-1,N,CA
11050,14/04/2014,0,B,0.9153,935,N,4,22,K,1,3,20,K,65125,N,4,ZA,0,2,N,0,O,1,11,2,10,-1,N,CA
11443,23/03/2015,0,K,0.887,"1,113",Y,4,22,K,1,5,11,K,9859,N,21,ZA,0,2,N,0,I,0,4,14,8,-1,N,TX
11632,25/04/2014,0,F,1.0006,548,N,5,22,G,1,3,20,V,66582,N,-1,XL,0,,N,0,R,1,13,4,20,-1,N,NJ
11673,21/11/2013,0,E,0.9482,"1,480",N,10,22,F,1,5,7,V,62143,N,7,ZA,0,2,Y,0,J,0,13,9,25,-1,N,IL
12099,4/02/2013,0,E,0.9368,"1,480",N,9,22,A,1,5,23,K,1571,N,-1,XR,0,,N,0,R,1,14,9,23,-1,N,IL
12279,27/02/2013,1,F,0.9023,564,N,5,22,E,1,3,14,T,28178,N,6,XM,0,,N,0,N,0,6,4,16,-1,N,NJ
12491,25/07/2014,1,F,1.0006,548,N,9,22,E,0,4,11,V,31184,N,6,ZF,0,,Y,0,E,0,24,4,22,-1,N,NJ
12614,5/09/2013,0,F,0.9919,564,N,25,22,E,1,5,4,Q,36909,N,6,XD,0,,N,0,R,1,20,4,19,-1,N,NJ
12697,17/05/2013,0,F,0.9313,564,N,7,22,J,1,3,15,V,3866,N,4,XO,0,,N,0,D,1,15,4,20,-1,N,NJ
13074,17/01/2014,0,J,0.8922,"1,113",N,12,22,G,1,5,7,V,20193,N,7,ZA,0,2,N,0,J,0,16,24,14,-1,N,TX
13361,31/10/2014,0,E,0.9108,"1,487",N,6,22,K,1,5,11,K,49122,N,6,ZC,0,,N,0,R,1,6,11,24,-1,N,IL
13808,11/04/2014,0,B,0.9153,935,N,12,25,D,0,5,11,V,51420,N,-1,ZA,0,2,N,0,O,1,24,2,11,-1,N,CA
13811,13/12/2013,0,E,0.9472,"1,480",N,6,22,F,0,5,7,V,53828,N,-1,ZA,0,2,N,0,R,0,8,10,24,-1,N,IL
14271,8/09/2014,1,E,0.9194,"1,487",N,1,22,K,1,5,11,K,794,N,24,XM,0,,N,0,R,0,1,9,24,-1,N,IL
14277,3/07/2014,1,F,1.0006,548,N,9,22,E,1,3,20,Q,61003,N,6,XX,1,2,N,0,R,1,17,4,22,-1,N,NJ
14453,12/01/2013,0,B,0.9219,965,N,11,22,K,1,5,23,R,20878,N,24,ZA,0,2,N,0,D,0,12,1,15,-1,N,CA
14461,8/09/2014,0,B,0.9153,935,N,7,22,E,1,3,20,K,27416,N,4,ZA,0,2,N,0,O,1,18,2,10,-1,N,CA
14656,6/05/2013,0,E,0.9525,"1,480",N,12,22,F,1,5,1,K,43977,N,5,ZA,0,2,Y,0,R,0,10,9,25,-1,N,IL
14725,4/04/2013,0,F,0.9313,564,N,18,22,E,1,5,23,Q,46231,N,5,ZH,0,,N,0,R,1,20,4,21,-1,N,NJ
14788,17/07/2013,0,J,0.9691,"1,165",N,6,22,G,0,4,1,T,45326,N,6,ZA,0,2,N,0,J,0,2,25,14,-1,N,TX
14895,10/06/2014,0,E,0.9392,"1,487",N,4,22,I,1,5,11,P,22539,N,6,ZT,0,,N,0,Q,1,5,9,25,-1,N,IL
14940,4/03/2013,0,J,0.9769,"1,165",N,23,25,G,1,5,23,T,58790,N,14,YF,0,,N,0,J,1,25,24,15,-1,N,TX
15293,20/03/2014,0,B,0.9153,935,N,9,22,K,1,2,20,K,17470,N,9,ZA,0,2,N,0,A,0,24,1,15,-1,N,CA
15340,31/08/2013,0,B,0.9403,965,N,15,22,E,1,3,21,R,36087,N,4,ZA,0,2,Y,0,O,0,15,2,4,-1,N,CA
15391,10/01/2014,0,B,0.9403,935,N,4,22,K,1,3,20,M,41512,N,21,ZA,0,2,N,0,D,0,15,2,9,-1,N,CA
15775,4/10/2013,0,B,0.9403,965,N,9,22,D,1,5,20,V,5442,N,21,ZA,0,2,Y,0,O,1,20,2,7,-1,N,CA
15990,26/11/2013,1,F,0.9919,564,N,10,22,E,1,3,20,T,14371,N,6,XI,0,,N,0,R,1,19,4,19,-1,N,NJ
16048,10/04/2015,0,B,0.9153,935,N,5,22,E,1,2,20,V,15255,N,6,ZA,0,2,N,0,O,1,17,2,9,-1,N,CA
16412,11/02/2015,1,B,0.9153,935,N,9,25,E,1,4,11,K,39360,N,5,ZA,0,2,N,0,O,1,10,2,6,-1,N,CA
16683,17/04/2015,0,K,0.887,"1,113",Y,12,22,F,1,5,11,V,33501,N,7,ZA,0,2,N,0,S,0,12,24,10,-1,N,TX
16894,9/05/2015,0,F,1.0101,548,N,10,22,E,1,3,20,R,51285,N,-1,XI,0,,N,0,R,1,19,4,20,-1,N,NJ
17165,9/04/2013,0,F,0.9313,564,N,7,25,E,0,4,8,P,44547,N,4,XJ,0,2,N,0,R,1,15,4,17,-1,N,NJ
17332,24/11/2013,0,F,0.9919,564,N,10,22,E,0,5,7,M,10640,N,5,XD,0,2,N,0,R,1,14,4,17,-1,N,NJ
17632,20/03/2015,0,B,0.9153,935,N,11,22,D,1,5,20,V,8885,N,3,ZA,0,2,N,0,O,1,25,1,6,25,N,CA
17836,1/04/2014,0,B,0.9153,935,N,18,22,K,1,2,20,P,31752,N,4,ZA,0,2,N,0,O,1,17,2,4,-1,N,CA
18414,17/03/2015,0,C,0.893,"1,487",Y,5,25,K,0,2,20,P,54221,N,-1,XH,0,,N,0,R,1,4,9,25,-1,N,IL
18720,30/07/2013,0,F,0.9919,564,N,25,22,J,0,3,21,P,11874,N,5,ZN,0,,Y,0,D,1,25,4,20,-1,N,NJ
18815,26/05/2013,0,B,0.9403,965,N,5,22,D,0,5,15,M,32159,N,-1,ZA,0,2,N,0,D,0,14,2,9,-1,N,CA
18948,9/02/2015,0,B,0.9153,935,N,13,22,D,1,5,11,K,31135,N,7,ZA,0,2,N,0,D,0,24,2,10,-1,N,CA
18966,7/04/2013,0,F,0.9313,564,N,2,22,E,1,3,15,M,54960,N,4,XB,0,,N,0,R,0,2,4,16,-1,N,NJ
19189,21/04/2013,0,J,0.9769,"1,165",N,9,22,G,1,5,23,M,39694,N,8,YF,0,,N,0,J,1,7,12,5,-1,N,TX
19914,19/03/2014,0,F,0.9566,548,N,7,22,E,1,3,20,T,38959,N,5,ZT,0,2,N,0,A,1,7,4,16,-1,N,NJ
20001,30/01/2015,0,F,1.0005,548,N,4,22,E,1,5,11,V,57575,N,5,XS,0,,N,0,R,1,7,4,18,-1,N,NJ
20364,12/06/2014,0,B,0.9153,935,N,4,22,E,1,4,11,Q,49475,N,7,ZA,0,2,N,0,O,0,14,1,4,-1,N,CA
20522,28/04/2014,0,F,1.0006,548,N,13,22,E,1,3,20,K,34570,N,12,XQ,0,,N,0,S,1,20,4,21,-1,N,NJ
21146,13/08/2013,0,F,0.9919,564,N,5,22,E,0,5,21,P,49032,N,25,XR,0,,N,0,R,1,11,4,19,-1,N,NJ
21174,27/08/2013,0,B,0.9403,965,N,10,22,D,0,5,24,P,12990,N,5,ZA,0,2,N,0,O,0,15,2,4,-1,N,CA
21758,18/07/2013,1,F,0.9919,564,N,8,22,E,1,4,1,T,34844,N,7,XB,0,,N,0,R,1,15,4,18,-1,N,NJ
21811,24/11/2014,0,B,0.9153,935,N,11,25,D,1,5,11,K,9710,N,16,ZA,0,2,N,0,O,1,22,2,4,-1,N,CA
21835,28/08/2013,0,E,0.9487,"1,480",N,12,22,A,1,4,4,V,28628,N,-1,ZE,0,,N,0,S,1,12,9,24,-1,N,IL
22032,8/12/2014,0,J,0.887,"1,113",N,5,22,K,1,4,22,K,14633,N,-1,XB,0,,N,0,J,1,2,14,6,-1,N,TX
22103,12/09/2013,0,B,0.9403,965,N,9,2,K,1,3,4,Q,23831,N,-1,ZA,0,2,N,0,O,1,18,2,4,-1,N,CA
22105,8/10/2013,0,B,0.9403,965,N,18,22,E,1,3,20,P,55705,N,9,ZA,0,2,N,0,O,1,17,2,12,-1,N,CA
22223,10/01/2015,0,J,0.887,"1,113",N,10,22,F,1,4,11,R,14139,N,6,ZA,0,2,Y,0,I,0,7,14,9,-1,N,TX
22484,14/11/2013,0,J,0.9258,"1,165",N,6,22,G,1,5,7,Q,45264,N,7,ZA,0,2,N,0,J,0,5,14,5,-1,N,TX
22662,11/06/2013,0,B,0.9403,965,N,9,22,D,0,5,24,K,2069,N,7,ZA,0,2,N,0,O,1,15,2,4,25,N,CA
22927,5/11/2013,0,B,0.9403,965,N,21,22,E,1,3,20,P,43913,N,8,ZA,0,2,N,0,O,1,13,2,4,-1,N,CA
23089,10/02/2013,0,B,0.9403,965,N,25,22,J,1,5,23,M,41648,N,12,ZA,0,2,N,0,O,0,19,2,4,-1,N,CA
23430,5/01/2014,0,B,0.9403,935,N,6,25,E,0,3,7,M,26709,N,4,ZA,0,2,Y,0,O,1,12,2,9,-1,N,CA
23490,10/10/2013,0,F,0.9919,564,N,10,22,E,1,3,20,K,55819,N,-1,XJ,0,,N,0,D,1,21,4,19,-1,N,NJ
23943,13/02/2014,0,F,0.9685,548,N,9,22,J,1,3,20,Q,6200,N,7,XH,0,,N,0,S,1,12,4,18,-1,N,NJ
23980,5/01/2014,0,E,0.9472,"1,487",N,9,22,F,0,5,20,M,64607,N,16,XJ,0,2,N,0,R,1,11,9,23,-1,N,IL
24079,9/10/2014,0,B,0.9153,935,N,12,22,D,1,5,11,M,22518,N,15,ZA,0,2,N,0,O,1,24,1,15,-1,N,CA
24215,31/12/2014,1,F,1.0005,548,N,2,22,E,0,5,11,R,56213,N,6,YF,0,,N,0,R,1,6,4,18,-1,N,NJ
24316,3/12/2013,0,B,0.9403,965,N,10,22,D,1,5,7,P,20152,N,-1,ZA,0,2,N,0,R,0,19,2,8,-1,N,CA
24454,16/02/2014,0,E,0.9472,"1,487",N,1,22,K,1,3,20,M,17304,N,16,XR,0,,N,0,D,0,1,9,25,-1,N,IL
24729,10/06/2013,0,J,0.9691,"1,165",N,12,22,G,1,5,1,K,59065,N,21,XJ,0,,N,0,J,1,9,12,5,-1,N,TX
25207,17/10/2014,1,F,1.0006,548,N,10,22,E,1,4,11,P,33572,N,7,XM,0,,N,0,R,1,21,4,20,-1,Y,NJ
25299,12/06/2013,0,B,0.9403,965,N,10,22,D,0,5,1,T,63107,N,-1,ZA,0,2,N,0,O,0,14,2,4,-1,Y,CA
25333,25/03/2014,0,B,0.9153,935,N,25,22,D,1,5,11,P,31435,N,6,ZA,0,2,Y,0,O,0,20,2,4,-1,N,CA
25519,11/09/2014,0,B,0.9153,935,N,9,22,D,1,5,11,Q,46525,N,6,ZA,0,2,N,0,O,0,25,2,9,-1,N,CA
25587,6/10/2013,0,E,0.9482,"1,480",N,5,22,K,1,5,4,M,29453,N,4,ZA,0,2,N,0,Q,0,4,9,25,-1,N,IL
25602,7/04/2015,1,B,0.9153,935,N,7,22,K,1,3,20,P,62063,N,23,ZA,0,2,N,0,O,1,15,2,6,-1,N,CA
25721,25/07/2014,1,J,0.8928,"1,113",N,3,22,F,1,5,11,V,37504,N,1,XD,0,,N,0,S,1,1,24,11,-1,N,TX
25727,9/01/2015,0,F,1.0005,548,N,4,22,E,0,5,20,V,17719,N,6,XR,0,,N,0,R,1,4,4,18,-1,N,NJ
25772,28/10/2014,0,B,0.9153,935,N,5,22,D,1,5,11,P,11848,N,-1,ZA,0,2,N,0,O,1,7,2,4,-1,N,CA
25893,8/09/2014,1,J,0.8928,"1,113",N,14,2,G,1,4,11,T,66045,N,5,XX,0,,N,0,J,1,17,14,5,-1,N,TX
26203,25/06/2014,0,F,1.0006,548,N,8,25,E,1,3,20,T,26835,N,6,ZR,0,2,Y,0,R,1,13,4,20,-1,N,NJ
26728,26/03/2014,1,F,0.9566,548,N,5,22,E,1,5,20,T,34716,N,5,ZC,0,2,N,0,D,1,13,4,18,-1,N,NJ
26730,22/03/2015,0,K,0.887,"1,113",Y,10,22,F,1,5,11,M,21424,N,5,XX,0,,Y,0,S,1,18,24,11,-1,N,TX
26732,13/04/2015,0,B,0.9153,935,N,3,22,D,1,5,11,K,6560,N,6,ZA,0,2,N,0,R,1,16,2,13,-1,N,CA
26790,6/11/2013,1,B,0.9403,965,N,2,25,J,1,4,7,T,31917,N,5,ZA,0,2,N,0,N,0,9,1,4,25,N,CA
26968,2/08/2013,0,B,0.9403,965,N,7,22,K,1,2,21,V,58000,N,4,ZA,0,2,N,0,O,1,13,2,4,-1,N,CA
27007,23/10/2014,0,B,0.9153,935,N,11,25,E,1,3,20,Q,57638,N,4,ZA,0,2,N,0,O,1,13,2,4,-1,N,CA
27017,25/06/2014,1,F,1.0006,548,N,10,22,E,1,3,20,T,54870,N,14,ZC,0,7,Y,0,R,1,19,4,22,-1,N,NJ
27123,4/09/2013,0,F,0.9919,564,N,1,22,E,1,5,4,V,34152,N,1,XB,0,,N,0,R,1,3,4,19,-1,N,NJ
27137,16/06/2014,1,F,1.0006,548,N,7,22,E,0,4,8,K,66836,N,14,XD,0,,N,0,N,1,8,4,17,-1,N,NJ
27190,19/06/2014,0,F,1.0006,548,N,5,22,E,1,5,20,Q,64856,N,18,ZH,0,,N,0,N,1,13,4,20,-1,N,NJ
27404,18/09/2013,0,B,0.9403,965,N,10,22,D,0,5,24,T,66678,N,-1,ZA,0,2,N,0,O,1,15,2,12,-1,N,CA
27514,2/10/2014,0,F,1.0006,548,N,6,22,E,1,5,11,Q,26843,N,-1,YF,0,,N,0,R,1,13,4,19,-1,N,NJ
27567,16/10/2014,1,B,0.9153,935,N,12,22,E,1,3,20,T,24159,N,5,ZA,0,2,N,0,O,0,24,2,13,-1,N,CA
27766,5/02/2015,0,B,0.9153,935,N,25,22,D,1,5,11,Q,42416,N,20,ZA,0,2,N,0,O,1,20,2,12,-1,N,CA
27817,27/09/2013,0,F,0.9919,564,N,3,22,E,1,5,4,V,8747,N,5,XD,0,,N,0,R,1,9,4,18,-1,N,NJ
27904,15/11/2014,1,B,0.9153,935,N,11,22,E,1,3,20,T,31832,N,5,ZA,0,2,N,0,R,1,18,2,4,25,N,CA
28166,13/03/2014,0,J,0.8922,"1,113",N,2,22,K,1,5,11,Q,8425,N,-1,XS,0,,N,0,I,1,3,15,4,-1,N,TX
29422,15/01/2015,0,B,0.9153,935,N,25,22,E,1,3,20,Q,48172,N,21,ZA,0,2,N,0,D,0,25,2,8,-1,N,CA
29467,13/05/2013,1,J,0.9691,"1,165",N,10,2,G,0,5,1,P,29771,N,6,XC,0,,N,0,D,1,23,14,5,-1,N,TX
29584,13/10/2013,0,B,0.9403,965,N,6,22,D,0,5,4,M,56515,N,-1,ZA,0,2,N,0,I,0,15,1,4,-1,N,CA
29817,25/03/2013,0,B,0.9403,965,N,6,22,D,1,5,23,K,52760,N,-1,ZA,0,2,N,0,O,1,12,1,4,-1,N,CA
29998,31/10/2014,0,B,0.9153,935,N,11,22,D,1,5,11,V,30037,N,-1,ZA,0,2,N,0,O,1,13,2,13,-1,N,CA
30092,2/03/2015,0,K,0.887,"1,113",Y,14,22,F,1,5,22,K,17548,N,11,ZA,0,2,N,0,S,0,15,24,15,-1,N,TX
30268,14/02/2014,0,F,0.9685,548,N,9,22,E,1,2,20,V,10784,N,7,YE,0,,N,0,O,0,17,4,20,-1,N,NJ
30888,20/11/2014,0,J,0.887,"1,113",N,5,25,F,1,4,11,Q,1533,N,-1,ZC,0,,N,0,S,1,11,13,6,-1,N,TX
31019,8/04/2013,0,J,0.9769,"1,165",N,3,22,F,1,3,15,K,26017,N,7,XO,0,,N,0,O,1,6,7,4,-1,N,TX
31461,31/07/2014,0,J,0.8928,"1,113",N,25,22,G,1,4,11,R,28456,N,7,XR,0,2,N,0,O,1,25,14,5,-1,N,TX
31496,11/03/2015,0,B,0.9153,935,N,8,22,D,1,5,11,T,5024,N,15,ZA,0,2,N,0,D,1,8,2,13,-1,N,CA
32040,30/05/2014,0,J,0.8928,"1,113",N,8,2,G,1,5,11,V,49517,N,8,XX,0,,N,0,S,1,4,24,12,-1,N,TX
33239,2/01/2013,0,F,0.9223,564,N,9,22,E,1,5,23,T,61260,N,6,XJ,0,,N,0,R,1,16,4,20,-1,N,NJ
33310,2/10/2013,1,B,0.9403,965,N,10,22,E,1,3,20,Q,31495,N,8,ZA,0,2,N,0,O,0,21,2,9,-1,N,CA
33372,30/04/2014,0,E,0.9392,"1,487",N,2,22,K,1,5,11,T,54004,N,8,ZA,0,2,N,0,R,0,5,9,24,-1,N,IL
33540,24/10/2013,1,B,0.9403,965,N,11,2,K,1,4,7,Q,43714,N,8,ZA,0,2,N,0,O,1,11,2,4,-1,N,CA
33571,28/03/2015,0,K,0.887,"1,113",Y,4,22,F,0,5,11,R,54415,N,12,ZA,0,2,N,0,R,0,12,13,6,-1,N,TX
34247,9/07/2013,0,J,0.9691,"1,165",N,2,22,F,1,5,1,P,61751,N,23,XO,0,,N,0,D,1,4,14,4,-1,N,TX
34608,1/10/2013,0,B,0.9403,965,N,17,22,D,1,5,20,P,63013,N,6,ZA,0,2,N,0,O,1,23,2,13,-1,N,CA
34701,29/10/2013,0,B,0.9403,965,N,9,22,D,0,5,20,P,18001,N,-1,ZA,0,2,N,0,R,0,5,2,4,-1,N,CA
34809,4/05/2015,1,B,0.9153,935,N,21,22,E,1,3,20,K,26840,N,6,ZA,0,2,N,0,O,1,25,2,4,-1,N,CA
35377,20/09/2014,0,J,0.8928,"1,113",N,7,22,F,1,5,11,R,49702,N,9,ZH,0,,N,0,R,1,7,15,4,-1,N,TX
35403,5/08/2014,0,J,0.8928,"1,113",N,6,22,F,1,5,11,P,55064,N,-1,XS,0,,N,0,J,1,7,14,4,-1,N,TX
35548,26/05/2014,0,E,0.9392,"1,487",N,5,25,K,1,5,11,K,50788,N,-1,ZN,0,,N,0,R,1,23,9,23,-1,N,IL
35795,10/02/2014,0,J,0.8922,"1,113",N,8,22,G,1,2,3,K,1647,N,-1,XZ,0,,N,0,J,1,3,13,7,-1,N,TX
35874,9/04/2013,0,B,0.9403,965,N,12,22,D,1,5,15,T,21488,N,-1,ZA,0,2,N,0,J,1,20,1,15,-1,N,CA
36010,20/01/2015,0,F,1.0005,548,N,7,22,E,1,5,11,P,52170,N,15,XJ,0,,Y,0,R,1,11,4,17,-1,N,NJ
